num,Type,PointX,PointY, PointZ,Distance0,Thickness1,P1_1,P2_1,P3_1,Distance1,Thickness2,P1_2,P2_2,P3_2,Distance2,Thickness3,P1_3,P2_3,P3_3,Distance3,Thickness4,P1_4,P2_4,P3_4,Distance4,Thickness5,P1_5,P2_5,P3_5,Distance5,Thickness6,P1_6,P2_6,P3_6,Distance6,Thickness7,P1_7,P2_7,P3_7,Distance7,Thickness8,P1_8,P2_8,P3_8,Distance8,Thickness9,P1_9,P2_9,P3_9,Distance_9,Thickness10,P1_10,P2_10,P3_10,Distance10,Thickness11,P1_11,P2_11,P3_11,Distance11,Thickness12,P1_12,P2_12,P3_12,Distance12,Thickness13,P1_13,P2_13,P3_13,Distance13,Thickness14,P1_14,P2_14,P3_14,Distance14,Thickness15,P1_15,P2_15,P3_15,a3ms
1,R1,855.23,-76.90,523.30,0.00,0.66,2.44,71.70,0.21,8.76,1.84,2.44,71.70,0.21,1.08,3.07,2.44,71.70,0.21,30.99,2.25,1.03,2.95,0.35,3.31,2.66,1.80,45.00,0.35,32.46,1.56,0.95,1.15,0.43,43.12,1.66,0.95,1.15,0.43,11.28,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.92
2,R1,855.38,-58.73,524.91,0.00,0.66,2.44,71.70,0.21,8.33,1.86,2.44,71.70,0.21,2.08,4.31,2.44,71.70,0.21,29.07,2.24,1.03,2.95,0.35,3.06,2.54,1.80,45.00,0.35,33.14,1.56,0.95,1.15,0.43,43.06,1.65,0.95,1.15,0.43,11.14,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.93
3,R1,855.65,-36.02,526.05,0.00,0.66,2.44,71.70,0.21,7.85,1.86,2.44,71.70,0.21,3.70,4.42,2.44,71.70,0.21,27.76,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,33.54,1.55,0.95,1.15,0.43,43.02,1.65,0.95,1.15,0.43,11.03,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.97
4,R1,855.91,-14.44,527.18,0.00,0.66,2.44,71.70,0.21,7.36,1.86,2.44,71.70,0.21,5.44,4.19,2.44,71.70,0.21,26.67,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,33.93,1.55,0.95,1.15,0.43,42.98,1.64,0.95,1.15,0.43,10.94,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.94
5,R1,856.45,9.41,526.05,0.00,0.66,2.44,71.70,0.21,7.85,1.86,2.44,71.70,0.21,3.69,4.42,2.44,71.70,0.21,27.76,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,34.37,1.57,0.95,1.15,0.43,42.98,1.65,0.95,1.15,0.43,11.03,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.04
6,R1,856.98,33.25,524.91,0.00,0.66,2.44,71.70,0.21,8.33,1.86,2.44,71.70,0.21,2.06,4.29,2.44,71.70,0.21,29.09,2.24,1.03,2.95,0.35,3.07,2.54,1.80,45.00,0.35,34.77,1.56,0.95,1.15,0.43,43.06,1.65,0.95,1.15,0.43,11.13,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.84
7,R1,857.16,56.87,527.18,0.00,0.66,2.44,71.70,0.21,7.37,1.86,2.44,71.70,0.21,5.43,4.19,2.44,71.70,0.21,26.67,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,35.18,1.55,0.95,1.15,0.43,42.98,1.64,0.95,1.15,0.43,10.93,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.35
8,R1,857.62,83.12,527.18,0.00,0.67,2.44,71.70,0.21,7.37,1.86,2.44,71.70,0.21,5.42,14.00,2.44,71.70,0.21,0.01,2.54,2.44,71.70,0.21,14.33,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,35.65,1.55,0.95,1.15,0.43,42.98,1.64,0.95,1.15,0.43,10.93,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.06
9,R1,857.92,108.49,528.46,0.00,0.66,2.44,71.70,0.21,6.91,1.80,2.44,71.70,0.21,7.35,3.26,2.44,71.70,0.21,26.13,2.23,1.03,2.95,0.35,3.04,2.54,1.80,45.00,0.35,36.10,1.55,0.95,1.15,0.43,42.94,1.64,0.95,1.15,0.43,10.82,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50
10,R1,858.47,132.06,527.18,0.00,0.66,2.44,71.70,0.21,7.37,1.86,2.44,71.70,0.21,5.42,4.19,2.44,71.70,0.21,26.68,2.24,1.03,2.95,0.35,3.05,2.54,1.80,45.00,0.35,93.60,1.50,7.85,210.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.65
