Type,Point X,Point Y, Point Z,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance
R1,976.7,-83.65,610.27,14.48393858,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,2.718970607,8.719950257,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,3.180796069,43.06000426,A2146801901_701,40000,1.04E-06,3.45,0.3,3.386946315,37.19644886,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,2.646000016,41.2513342,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,992.44,-87.38,591.95,0.654164875,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,13.43631517,5.009264881,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,13.84168475,2.005371404,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,24.00623829,4.117419532,A2146801901_701,40000,1.04E-06,3.45,0.3,50.17951767,2.646000009,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1007.95,-93.41,572.35,0.67183278,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,14.32226579,3.643010286,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,15.28080953,2.064923966,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,12.38989587,2.581217827,A2146801901_701,40000,1.04E-06,3.45,0.3,66.26096829,2.646000003,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1019.24,-92.78,558.19,0.700179443,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,29.17988373,5.528938881,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,6.975881353,2.691947931,A2146801901_701,40000,1.04E-06,3.45,0.3,77.70778275,2.646000002,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1028.79,-94.53,546.15,0.720871662,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,34.3703959,8.981331775,A2146801901_701,40000,1.04E-06,3.45,0.3,1.427474003,1.382756655,A2146801901_701,40000,1.04E-06,3.45,0.3,68.4708261,2.574576988,A2146801901_699,40000,1.04E-06,3.45,0.3,11.0875115,2.646000001,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1049.75,-87.36,518.94,18.07647485,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,3.766934636,31.80433868,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,2.492527865,9.119257027,A2146801901_701,40000,1.04E-06,3.45,0.3,2.517053412,66.3589368,A2146801901_699,40000,1.04E-06,3.45,0.3,2.50422739,10.15596808,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,2.646,40.708,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1050.93,-94.82,518.36,0.821946485,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,18.13028783,3.777143297,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,32.57561193,2.329017135,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,8.857911432,2.529593439,A2146801901_701,40000,1.04E-06,3.45,0.3,17.59913016,2.225924646,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,46.46340218,2.503725832,A2146801901_699,40000,1.04E-06,3.45,0.3,10.14932649,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1069.83,-94.55,494.63,0.913371496,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,20.24659213,4.218040027,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,5.616668778,8.122634989,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,26.89448183,2.812026685,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.030066712,3.515033356,A2146801901_701,40000,1.04E-06,3.45,0.3,75.89781359,2.527684645,A2146801901_699,40000,1.04E-06,3.45,0.3,10.12537468,2.646,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1080.73,-98.35,480.87,0.977657078,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,21.59978706,4.499955638,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,42.79374473,3.172516365,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,7.883208035,3.749963032,A2146801901_701,40000,1.04E-06,3.45,0.3,58.87021702,24.07066798,A2146801901_699,40000,1.04E-06,3.45,0.3,12.99316145,2.646000001,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1106.6,-93.78,448.48,1.131598927,A2149012402_2_1014907_BODY_384_JT,46063,2.66E-06,70,0.3,23.30316554,6.956291055,A2149012402_2_1272049_VOLUME46_JT,46064,1.81E-06,44.8,0.35,50.25852273,3.478098459,A2149012402_2_1174758_VOLUME46_JT,46101,1.05E-06,3.1,0.32,8.695246148,4.347623074,A2146801901_701,40000,1.04E-06,3.45,0.3,102.1552286,2.623319611,A2146801901_699,40000,1.04E-06,3.45,0.3,10.21286386,2.646000003,A2146802402_4_41825_OUT_FERTIG_GELOCHT_JT,46032,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
