x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
855.23,-76.9,523.3,0.66,71.7,0.21,8.76,1.84,71.7,0.21,1.08,3.07,71.7,0.21,30.99,2.25,2.95,0.35,3.31,2.66,45,0.35,32.46,1.56,1.15,0.43,43.12,1.66,1.15,0.43,11.28,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.35,71.7,0.21,5.96,3.52,71.7,0.21,2.28,2.08,71.7,0.21,1.62,2.23,71.7,0.21,41.17,3.56,2.4,0.4,29.61,4.59,2.4,0.4,2.67,1.29,2.4,0.4,2.26,4.52,2.4,0.4,0,2.26,2.4,0.4,4.63,2.24,2.95,0.35,19.98,40.92
855.38,-58.73,524.91,0.66,71.7,0.21,8.33,1.86,71.7,0.21,2.08,4.31,71.7,0.21,29.07,2.24,2.95,0.35,3.06,2.54,45,0.35,33.14,1.56,1.15,0.43,43.06,1.65,1.15,0.43,11.14,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.35,71.7,0.21,7.09,2.57,71.7,0.21,2.11,3.04,71.7,0.21,2.09,2.18,71.7,0.21,42.02,3.24,2.4,0.4,29.79,4.44,2.4,0.4,1.25,2.72,2.4,0.4,2.26,4.53,2.4,0.4,0,2.26,2.4,0.4,4.35,2.24,2.95,0.35,17.96,44.93
855.65,-36.02,526.05,0.66,71.7,0.21,7.85,1.86,71.7,0.21,3.7,4.42,71.7,0.21,27.76,2.24,2.95,0.35,3.05,2.54,45,0.35,33.54,1.55,1.15,0.43,43.02,1.65,1.15,0.43,11.03,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.33,71.7,0.21,8.4,2.04,71.7,0.21,1.29,3.76,71.7,0.21,2.42,2.16,71.7,0.21,42.6,3.05,2.4,0.4,29.89,4.36,2.4,0.4,6.23,4.53,2.4,0.4,0,2.27,2.4,0.4,4.18,2.24,2.95,0.35,16.95,3.25,210,0.3,3.95,49.97
855.91,-14.44,527.18,0.66,71.7,0.21,7.36,1.86,71.7,0.21,5.44,4.19,71.7,0.21,26.67,2.24,2.95,0.35,3.05,2.54,45,0.35,33.93,1.55,1.15,0.43,42.98,1.64,1.15,0.43,10.94,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.33,71.7,0.21,9.69,2.03,71.7,0.21,1.09,3.35,71.7,0.21,2.72,2.15,71.7,0.21,43.36,2.51,2.4,0.4,30.15,14.38,2.4,0.4,0.65,2.02,2.4,0.4,4.3,6.91,2.95,0.35,11.61,3.4,210,0.3,0,0,0,0,0,48.94
856.45,9.41,526.05,0.66,71.7,0.21,7.85,1.86,71.7,0.21,3.69,4.42,71.7,0.21,27.76,2.24,2.95,0.35,3.05,2.54,45,0.35,34.37,1.57,1.15,0.43,42.98,1.65,1.15,0.43,11.03,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.34,71.7,0.21,8.39,2.04,71.7,0.21,1.3,3.75,71.7,0.21,2.42,2.16,71.7,0.21,34.8,5.11,2.4,0.4,20.63,0.69,2.4,0.4,1.28,27.46,2.4,0.4,0.68,2.27,2.4,0.4,4.36,2.24,2.95,0.35,18.79,3.83,210,0.3,0,43.04
856.98,33.25,524.91,0.66,71.7,0.21,8.33,1.86,71.7,0.21,2.06,4.29,71.7,0.21,29.09,2.24,2.95,0.35,3.07,2.54,45,0.35,34.77,1.56,1.15,0.43,43.06,1.65,1.15,0.43,11.13,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.33,71.7,0.21,7.1,2.56,71.7,0.21,2.11,3.04,71.7,0.21,2.11,2.18,71.7,0.21,42.01,3.24,2.4,0.4,29.79,4.44,2.4,0.4,6.23,4.53,2.4,0.4,0,2.26,2.4,0.4,4.69,2.24,2.95,0.35,0,0,0,0,0,43.84
857.16,56.87,527.18,0.66,71.7,0.21,7.37,1.86,71.7,0.21,5.43,4.19,71.7,0.21,26.67,2.24,2.95,0.35,3.05,2.54,45,0.35,35.18,1.55,1.15,0.43,42.98,1.64,1.15,0.43,10.93,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.34,71.7,0.21,9.68,2.03,71.7,0.21,1.09,3.35,71.7,0.21,2.7,2.15,71.7,0.21,43.17,2.89,2.4,0.4,29.98,4.28,2.4,0.4,6.24,4.51,2.4,0.4,0,2.02,2.4,0.4,4.56,2.24,2.95,0.35,18.78,3.81,210,0.3,0,45.35
857.62,83.12,527.18,0.67,71.7,0.21,7.37,1.86,71.7,0.21,5.42,14,71.7,0.21,0.01,2.54,71.7,0.21,14.33,2.24,2.95,0.35,3.05,2.54,45,0.35,35.65,1.55,1.15,0.43,42.98,1.64,1.15,0.43,10.93,1.5,210,0.3,0,0,0,0,0,1.34,71.7,0.21,9.68,2.03,71.7,0.21,1.09,3.36,71.7,0.21,2.67,2.15,71.7,0.21,43.19,2.89,2.4,0.4,12.36,15.73,2.4,0.4,0.69,1.28,2.4,0.4,0.41,5.17,2.4,0.4,4.85,4.51,2.4,0.4,0,2.02,2.4,0.4,4.66,44.06
857.92,108.49,528.46,0.66,71.7,0.21,6.91,1.8,71.7,0.21,7.35,3.26,71.7,0.21,26.13,2.23,2.95,0.35,3.04,2.54,45,0.35,36.1,1.55,1.15,0.43,42.94,1.64,1.15,0.43,10.82,1.5,210,0.3,0,0,0,0,0,0,0,0,0,1.32,71.7,0.21,11.16,2.03,71.7,0.21,1.07,2.79,71.7,0.21,2.84,2.14,71.7,0.21,43.86,2.73,2.4,0.4,30.09,4.19,2.4,0.4,6.24,4.18,2.4,0.4,0,2.02,2.4,0.4,4.8,2.24,2.95,0.35,19.64,6.09,210,0.3,6.25,38.5
858.47,132.06,527.18,0.66,71.7,0.21,7.37,1.86,71.7,0.21,5.42,4.19,71.7,0.21,26.68,2.24,2.95,0.35,3.05,2.54,45,0.35,93.6,1.5,210,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,71.7,0.21,9.69,2.03,71.7,0.21,1.09,3.35,71.7,0.21,2.58,2.15,71.7,0.21,34.06,18.22,2.4,0.4,9.12,19.04,2.4,0.4,10.74,2.02,2.4,0.4,14.72,2.55,2.4,0.34,64.04,3.61,2.95,0.35,0,0,0,0,0,35.65
