x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
976.7,-83.65,610.27,0.810687975,0.4,0.4,1.616275593,11.85658404,70,0.3,1.913717266,9.717898693,24,0.136,2.478006495,43.7699716,3.1,0.32,3.386921998,37.19699122,44.8,0.35,2.646000005,37.1525215,,,,,,,,,,,,,,,,,,,,0.836809882,0.4,0.4,0.955874731,4.095851845,44.8,0.35,0.865231863,0.353631576,44.8,0.35,0.098436125,6.399147015,70,0.3,4.86533661,11.47480032,24,0.136,2.863350628,30.64471952,3.1,0.32,2.978127067,39.17334357,1.15,0.43,0,2.489147351,1.15,0.43,0,10.75275648,44.8,0.35,0.592383724,9.338242336,44.8,0.35,10.20909109,77.1882
992.44,-87.38,591.95,0.654164581,0.4,0.4,1.89E-12,0.88238448,44.8,0.35,1.173170275,5.615173965,44.8,0.35,5.76558041,3.509483728,70,0.3,15.34145744,2.005419309,24,0.136,24.00572755,4.117386173,3.1,0.32,50.18002862,2.646000003,44.8,0.35,,,,,,,,,,,,,,0.68303653,0.4,0.4,2.05E-12,0.921329052,44.8,0.35,1.224948853,5.863003058,44.8,0.35,6.020047782,3.140894495,70,0.3,31.19955199,2.617412079,3.1,0.32,115.1097989,0,1.15,0.43,4.199853933,0,1.15,0.43,16.5794738,26.65011235,,,,,,,,,,,,92.3488
1007.95,-93.41,572.35,0.671832149,0.4,0.4,1.84E-12,0.908587822,44.8,0.35,1.208008809,5.781922506,44.8,0.35,5.93679543,3.097458485,70,0.3,30.76808762,2.581215404,3.1,0.32,66.26101609,2.646000001,44.8,0.35,,,,,,,,,,,,,,,,,,0.687840761,0.4,0.4,1.96E-12,0.930237917,44.8,0.35,1.236793594,5.9796566,44.8,0.35,6.018298347,3.171265625,70,0.3,16.87793368,1.743395301,24,0.136,12.87990957,2.642721354,3.1,0.32,172.7946676,27.87005081,,,,,,,,,,,,,,,,83.6234
1019.24,-92.78,558.19,0.700178798,0.4,0.4,1.91E-12,0.944612414,44.8,0.35,1.255905142,6.064893596,44.8,0.35,6.118459702,3.220269594,70,0.3,16.96008653,2.146846426,24,0.136,12.88107835,2.683557995,3.1,0.32,69.80872553,2.646000001,44.8,0.35,,,,,,,,,,,,,,0.694667604,0.4,0.4,1.96E-12,0.937177253,44.8,0.35,1.246019756,6.017105053,44.8,0.35,6.070351558,3.194922452,70,0.3,16.91188761,2.699338071,24,0.136,4.522344895,8.422098949,24,0.136,4.611928332,2.662435377,3.1,0.32,196.3620061,11.7063935,,,,,,,,,,,,88.7177
1028.79,-94.53,546.15,0.720871191,0.4,0.4,1.87E-12,0.985209402,44.8,0.35,1.309880682,6.269514374,44.8,0.35,6.437447794,3.358668414,70,0.3,33.36277292,2.798890345,3.1,0.32,60.21342095,0,1.15,0.43,2.574577811,0,1.15,0.43,10.9844907,2.646,44.8,0.35,,,,,,,,,,0.690286189,0.4,0.4,1.94E-12,0.943409102,44.8,0.35,1.254305284,6.00351247,44.8,0.35,6.16432084,3.230548291,70,0.3,32.04008747,2.144111596,24,0.136,3.310439642,4.617431225,3.1,0.32,169.3407597,0.130884884,1.15,0.43,3.687487754,0.170955824,1.15,0.43,8.867856283,6.559560247,1.15,0.43,,,,,,90.1984
1049.75,-87.36,518.94,1.100156165,44.8,0.35,1.469104604,7.03161178,44.8,0.35,7.219958524,3.766934882,70,0.3,33.05997793,2.492529455,24,0.136,7.292654161,2.565100621,3.1,0.32,68.23766356,0,1.15,0.43,2.504227378,0,1.15,0.43,6.055799669,4,44.8,0.35,0,2.646,44.8,0.35,,,,,,0.954241016,44.8,0.35,1.274255342,5.957415999,44.8,0.35,9.736755083,7.126531498,70,0.3,25.3722879,2.178214259,24,0.136,3.267321389,2.722767824,3.1,0.32,165.3977336,3.250283526,,,63.81120101,3.019707623,3.45,0.3,15.60403436,3.861495229,3.45,0.3,,,,,,,,,,73.656
1050.93,-94.82,518.36,0.821946567,0.4,0.4,2.28E-12,1.107962144,44.8,0.35,1.473086033,7.050668191,44.8,0.35,7.239525375,3.777143674,70,0.3,33.83465182,2.329019445,24,0.136,6.980860257,2.589690178,3.1,0.32,68.20556292,0,1.15,0.43,2.503725814,0,1.15,0.43,6.04917844,4,44.8,0.35,0,2.646,44.8,0.35,,0.711436936,0.4,0.4,2.03E-12,0.958998096,44.8,0.35,1.27503156,5.961044986,44.8,0.35,8.540945552,3.951439675,70,0.3,29.76891725,2.179541128,24,0.136,3.269311692,2.72442641,3.1,0.32,164.3545344,3.490654114,,,58.08754357,0.512421317,3.45,0.3,0,4.800999969,3.45,0.3,21.02841622,2.419551445,3.45,0.3,,75.9187
1069.83,-94.55,494.63,0.913372354,0.4,0.4,2.52E-12,1.237292903,44.8,0.35,1.645037156,7.030073314,44.8,0.35,0.224967511,0.703370746,44.8,0.35,0.167136947,0.140976566,44.8,0.35,2.953471925,0.098421026,44.8,0.35,4.639848387,4.218043988,70,0.3,7.022624141,8.122699894,70,0.3,26.89451438,2.812029326,24,0.136,4.218043988,3.515036657,3.1,0.32,78.87026621,0.718761871,0.4,0.4,2.03E-12,0.973665295,44.8,0.35,1.294532267,5.532189177,44.8,0.35,0.177034118,0.55064501,44.8,0.35,2.569505622,0.077450648,44.8,0.35,3.651244857,3.319313506,70,0.3,33.08249128,2.212875671,24,0.136,3.319313506,5.685573569,3.1,0.32,20.26370251,2.32E-12,1.15,0.43,2.979329494,4.71E-13,1.15,0.43,97.73422115,68.7951
1080.73,-98.35,480.87,0.977658511,0.4,0.4,2.77E-12,1.319988922,44.8,0.35,1.754985272,7.499937059,44.8,0.35,0.240003496,0.824993076,44.8,0.35,3.404965915,0.104999119,44.8,0.35,4.949958459,4.499962235,70,0.3,44.29379393,3.172521319,24,0.136,7.798858511,3.03712875,3.1,0.32,59.66733416,0,1.15,0.43,18.88990227,7.117056558,1.15,0.43,11.05683084,0.727892839,0.4,0.4,2.08E-12,0.982766961,44.8,0.35,1.306633347,5.58390319,44.8,0.35,0.178689004,0.552694394,44.8,0.35,2.596622903,0.078174645,44.8,0.35,3.685376106,3.350341914,70,0.3,29.73739831,2.044629513,24,0.136,10.06171679,2.780604495,3.1,0.32,103.466861,12.20314898,3.45,0.3,1.71E-13,24.45308558,3.45,0.3,1.47E-12,66.4606
1106.6,-93.78,448.48,0.957696419,70,0.3,0.173905361,0,70,0.3,8.834821751,0.305628572,44.8,0.35,0.298293487,0.916885717,44.8,0.35,0.122251429,2.56502115,44.8,0.35,0.365207647,0.347810723,44.8,0.35,0.073817544,0.109919534,44.8,0.35,10.12660104,4.454220679,70,0.3,51.99770306,3.478107228,24,0.136,5.217160842,4.347634035,3.1,0.32,105.9945587,0.629549499,70,0.3,0.114318098,5.68E-14,0.4,0.4,10.35660361,3.778113699,24,0.136,5.992511178,4.424914409,2.4,0,21.74352818,8.162289284,3.1,0.32,12.693631,0.312907436,3.6,0.4,1.533873336,0.316122446,3.6,0.4,5.940093159,0.643832434,3.6,0.4,11.87590756,2.757290215,3.6,0.4,8.431597381,3.570437712,0.0239,0.4,12.21539809,61.215
