x,y,z,Thickness_r1_1,r1P2_1,r1P3_1,Distance_r1_1,Thickness_r1_2,r1P2_2,r1P3_2,Distance_r1_2,Thickness_r1_3,r1P2_3,r1P3_3,Distance_r1_3,Thickness_r1_4,r1P2_4,r1P3_4,Distance_r1_4,Thickness_r1_5,r1P2_5,r1P3_5,Distance_r1_5,Thickness_r1_6,r1P2_6,r1P3_6,Distance_r1_6,Thickness_r1_7,r1P2_7,r1P3_7,Distance_r1_7,Thickness_r1_8,r1P2_8,r1P3_8,Distance_r1_8,Thickness_r1_9,r1P2_9,r1P3_9,Distance_r1_9,Thickness_r1_10,r1P2_10,r1P3_10,Distance_r1_10,Thickness_r2_1,r2P2_1,r2P3_1,Distance_r2_1,Thickness_r2_2,r2P2_2,r2P3_2,Distance_r2_2,Thickness_r2_3,r2P2_3,r2P3_3,Distance_r2_3,Thickness_r2_4,r2P2_4,r2P3_4,Distance_r2_4,Thickness_r2_5,r2P2_5,r2P3_5,Distance_r2_5,Thickness_r2_6,r2P2_6,r2P3_6,Distance_r2_6,Thickness_r2_7,r2P2_7,r2P3_7,Distance_r2_7,Thickness_r2_8,r2P2_8,r2P3_8,Distance_r2_8,Thickness_r2_9,r2P2_9,r2P3_9,Distance_r2_9,Thickness_r2_10,r2P2_10,r2P3_10,Distance_r2_10,A3MS
938.69,550.53,793.05,3.0185454,0.25,0.45,1.170691808,2.350970197,0.25,0.45,16.70673122,3.746476532,2.8,0.45,2.123185446,4.716386254,2.8,0.45,66.57279125,2.692204802,2.95,0.35,52.1302176,37.29151295,70,0.3,2.52E-12,3.399067213,70,0.3,,,,,,,,,,,,,,2.899157237,0.25,0.45,1.122841318,2.252211732,0.25,0.45,15.28439897,3.474385377,2.8,0.45,1.895427813,3.53507259,2.8,0.45,2.2385049,3.618015894,2.8,0.45,71.46013838,2.889935761,2.95,0.35,33.05456051,58.23913053,70,0.3,5.68E-13,4.940853992,70,0.3,26.82829914,3.962016493,70,0.3,1.02E-12,7.880907974,70,0.3,,63.1117
983.01,556.3,695.68,0.087729289,22.54,0.23,2.407165057,3.77E-13,22.54,0.23,3.826912432,0.546436838,2.35,0.34,0,3.36550376,2.35,0.34,0,12.23528464,2.35,0.34,0,2.722127351,2.35,0.34,0,167.2076947,70,0.3,0.00019381,3.604861805,70,0.3,,,,,,,,,,0.086994299,22.54,0.23,2.387065755,2.54E-13,22.54,0.23,3.795225428,0.541938829,2.35,0.34,0,5.524443994,2.35,0.34,0,4.855135424,22.54,0.23,2.29406287,2.801447591,2.35,0.34,0,2.700719866,2.35,0.34,0,39.85531318,,,0,27.82237828,,,0,0.907127679,2.95,0.35,0.659308534,59.8614
999.49,513.06,676.34,2.320625203,71.7,0.21,0,2.206019647,22.54,0.23,1.61E-13,1.82E-07,71.7,0.21,0,2.039510395,22.54,0.23,6.92E-13,3.96526669,2.35,0.34,0,5.227000571,2.35,0.34,0,9.118963964,2.35,0.34,0,2.742750743,2.35,0.34,0,148.209966,70,0.3,3.591483499,28.09729005,70,0.3,,2.275357472,71.7,0.21,0,2.163247581,22.54,0.23,7.19E-13,1.82E-07,71.7,0.21,0,2.000190318,,,5.57E-13,3.889666975,2.35,0.34,0,3.23983355,2.35,0.34,0,10.83804782,2.35,0.34,0,2.69267692,2.35,0.34,0,2.325479243,,,0,11.77147974,,,0,51.6351
951.69,530.2,746.92,1.521301739,71.7,0.21,0,2.000002361,71.7,0.21,0,0.100000126,2.35,0.34,0,0.400000503,2.35,0.34,0,7.54E-13,2.35,0.34,0,2.500003132,2.35,0.34,0,3.800004723,2.35,0.34,0,2.500003083,2.35,0.34,0,4.725971941,2.35,0.34,0,5.979025196,2.35,0.34,0,1.653734979,71.7,0.21,0,2.173241123,71.7,0.21,0,0.108636361,2.35,0.34,0,0.434521055,2.35,0.34,0,1.97E-13,2.35,0.34,0,2.714876359,2.35,0.34,0,4.123733815,2.35,0.34,0,2.711113351,2.35,0.34,0,0.10749948,2.35,0.34,0,3.360133742,2.35,0.34,0,66.6412
988.63,411.78,691.01,2.080048121,71.7,0.21,0,2.101804782,71.7,0.21,0,0.052538107,,,1.71E-13,1.891145329,,,4.99E-13,0.472454635,2.35,0.34,0,3.151017306,2.35,0.34,0,10.92444817,,,0,0.856911525,,,0,9.638522915,2.35,0.34,0,1.713823048,2.35,0.34,0,2.144260457,71.7,0.21,0,2.166316734,71.7,0.21,0,0.054145928,,,3.41E-13,1.948866146,,,1.27E-13,0.486839552,2.35,0.34,0,7.066516688,2.35,0.34,0,17.0336269,2.35,0.34,0,1.699069542,2.35,0.34,0,15.92576014,2.35,0.34,0,2.684753705,2.35,0.34,0,66.9748
939.24,424.86,798.16,2.680389802,0.25,0.45,1.021650547,2.057467146,0.25,0.45,1.03812568,7.210300498,2.8,0.45,3.769413581,2.362159735,2.8,0.45,3.297222831,15.22559942,2.8,0.45,6.181759283,2.34E-13,2.8,0.45,2.976058225,0.199088617,2.8,0.45,1.603994775,69.51651294,2.95,0.35,2.629267355,47.56951038,70,0.3,3,37.42771534,70,0.3,,2.653815369,0.25,0.45,1.00799316,2.021395347,0.25,0.45,1.014557998,7.77819509,2.8,0.45,3.164640328,3.682189968,2.8,0.45,3.514233635,16.05197652,2.8,0.45,1.008432245,3.60E-13,2.8,0.45,5.681249022,2.329647154,2.8,0.45,3.166377841,2.695313165,2.8,0.45,5.786022119,49.01324966,2.95,0.35,3.038774463,51.75264337,70,0.3,3.800175264,73.801
964.72,212.41,725.96,1.67089306,71.7,0.21,0,2.01124283,71.7,0.21,0,5.84E-08,,,0,1.860349385,22.54,0.23,4.72E-13,2.161539137,2.35,0.34,0,1.005227938,2.35,0.34,0,0.452581847,2.35,0.34,0,3.017168979,2.35,0.34,0,32.71944235,2.35,0.34,0,2.512632756,2.35,0.34,0,1.804771538,71.7,0.21,0,2.171556145,71.7,0.21,0,5.26E-08,,,3.94E-13,2.007829354,,,4.10E-13,2.331803886,2.35,0.34,0,1.084088563,2.35,0.34,0,0.488062929,2.35,0.34,0,7.637625064,2.35,0.34,0,30.76471286,2.35,0.34,0,2.690577971,2.35,0.34,0,49.0291
1008.38,212.02,664.8,2.515002606,71.7,0.21,0,2.304248724,71.7,0.21,0,4.602205733,2.35,0.34,0,1.149185844,2.35,0.34,0,0.517974516,2.35,0.34,0,5.059501701,2.35,0.34,0,35.52003038,2.35,0.34,0,2.834352993,2.35,0.34,0,39.44211566,2.95,0.35,2.241139819,63.97684823,70,0.3,5.777439618,2.357098076,71.7,0.21,0,2.160485811,71.7,0.21,0,4.317895399,2.35,0.34,0,1.078716567,2.35,0.34,0,0.486137216,2.35,0.34,0,7.600225643,2.35,0.34,0,30.61823032,2.35,0.34,0,2.678335191,2.35,0.34,0,37.3795031,2.95,0.35,2.129701503,131.9027221,70,0.3,8.950343261,62.7682
992.84,0.9,685.17,2.036294971,71.7,0.21,0,2.049886242,71.7,0.21,0,0.051243845,,,0,1.699154943,,,4.10E-13,0.602374294,2.35,0.34,0,3.078185027,2.35,0.34,0,10.65096245,,,0,0.13189005,,,0,9.506942775,2.35,0.34,0,1.658174473,2.35,0.34,0,2.15147827,71.7,0.21,0,2.165180824,71.7,0.21,0,0.054117621,,,0,1.794213423,,,3.22E-13,0.635522274,2.35,0.34,0,3.24941899,2.35,0.34,0,10.6736363,,,0,0.851921797,,,0,9.052381885,2.35,0.34,0,1.703843592,2.35,0.34,0,45.2396
941.29,2.12,764.57,1.395826643,71.7,0.21,0,2.12783629,71.7,0.21,0,2.521567862,2.35,0.34,0,0,,,0,0.258615633,2.35,0.34,0,0,,,0,1.604351168,2.35,0.34,0,0,,,0,2.723958504,2.35,0.34,0,0,,,0,1.426163198,71.7,0.21,0,2.17385897,71.7,0.21,0,1.582226752,2.35,0.34,0,0,,,0,1.244393366,2.35,0.34,0,0,,,0,1.635603147,2.35,0.34,0,0,,,0,1.576013778,2.35,0.34,0,0,,,0,60.1136
