S. No,Point_ID,Type,Point X,Point Y, Point Z,Thickness_1,ComponentName_1,MaterialID_1,P1_1,P2_1,P3_1,Distance_1,Thickness_2,ComponentName_2,MaterialID_2,P1_2,P2_2,P3_2,Distance_2,Thickness_3,ComponentName_3,MaterialID_3,P1_3,P2_3,P3_3,Distance_3,Thickness_4,ComponentName_4,MaterialID_4,P1_4,P2_4,P3_4,Distance_4,Thickness_5,ComponentName_5,MaterialID_5,P1_5,P2_5,P3_5,Distance_5,Thickness_6,ComponentName_6,MaterialID_6,P1_6,P2_6,P3_6,Distance_6,Thickness_7,ComponentName_7,MaterialID_7,P1_7,P2_7,P3_7,Distance_7,Thickness_8,ComponentName_8,MaterialID_8,P1_8,P2_8,P3_8,Distance_8,Thickness_9,ComponentName_9,MaterialID_9,P1_9,P2_9,P3_9,Distance_9,Thickness_10,ComponentName_10,MaterialID_10,P1_10,P2_10,P3_10,Distance_10,Thickness_11,ComponentName_11,MaterialID_11,P1_11,P2_11,P3_11,Distance_11,Thickness_12,ComponentName_12,MaterialID_12,P1_12,P2_12,P3_12,Distance_12,Thickness_13,ComponentName_13,MaterialID_13,P1_13,P2_13,P3_13,Distance_13,Thickness_14,ComponentName_14,MaterialID_14,P1_14,P2_14,P3_14,Distance_14,Thickness_15,ComponentName_15,MaterialID_15,P1_15,P2_15,P3_15,Distance_15,Thickness_16,ComponentName_16,MaterialID_16,P1_16,P2_16,P3_16,Distance_16,Thickness_17,ComponentName_17,MaterialID_17,P1_17,P2_17,P3_17,Distance_17,Thickness_18,ComponentName_18,MaterialID_18,P1_18,P2_18,P3_18,Distance_18,Thickness_19,ComponentName_19,MaterialID_19,P1_19,P2_19,P3_19,Distance_19,A3MS
1,P1,R1,976.7,-83.65,610.27,0.810687975,SIDE_SUPPORT_BRACKETS,46008,9.70E-08,0.4,0.4,1.616275593,11.85658404,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,1.913717266,9.717898693,REAR_BRACKET,46072,1.85E-06,24,0.136,2.478006495,43.7699716,A2146801901_600,46101,1.05E-06,3.1,0.32,3.386921998,37.19699122,A2146802402_4,46064,1.81E-06,44.8,0.35,2.646000005,37.1525215,A2146827600_FP001_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1882
2,P2,R1,992.44,-87.38,591.95,0.654164581,SCREEN_2,43307,9.70E-08,0.4,0.4,1.89E-12,0.88238448,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.173170275,5.615173965,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.76558041,3.509483728,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,15.34145744,2.005419309,REAR_BRACKET,46072,1.85E-06,24,0.136,24.00572755,4.117386173,A2146801901_600,46101,1.05E-06,3.1,0.32,50.18002862,2.646000003,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3488
3,P3,R1,1007.95,-93.41,572.35,0.671832149,SCREEN_2,43307,9.70E-08,0.4,0.4,1.84E-12,0.908587822,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.208008809,5.781922506,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.93679543,3.097458485,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,30.76808762,2.581215404,A2146801901_600,46101,1.05E-06,3.1,0.32,66.26101609,2.646000001,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6234
4,P4,R1,1019.24,-92.78,558.19,0.700178798,SCREEN_2,43307,9.70E-08,0.4,0.4,1.91E-12,0.944612414,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.255905142,6.064893596,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.118459702,3.220269594,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,16.96008653,2.146846426,REAR_BRACKET,46072,1.85E-06,24,0.136,12.88107835,2.683557995,A2146801901_600,46101,1.05E-06,3.1,0.32,69.80872553,2.646000001,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7177
5,P5,R1,1028.79,-94.53,546.15,0.720871191,SCREEN_2,43307,9.70E-08,0.4,0.4,1.87E-12,0.985209402,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.309880682,6.269514374,INNER_SCREEN,46064,1.81E-06,44.8,0.35,6.437447794,3.358668414,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,33.36277292,2.798890345,A2146801901_600,46101,1.05E-06,3.1,0.32,60.21342095,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.574577811,0,A2146801901_595,46014,9.50E-07,1.15,0.43,10.9844907,2.646,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1984
6,P6,R1,1049.75,-87.36,518.94,1.100156165,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.469104604,7.03161178,INNER_SCREEN,46064,1.81E-06,44.8,0.35,7.219958524,3.766934882,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,33.05997793,2.492529455,REAR_BRACKET,46072,1.85E-06,24,0.136,7.292654161,2.565100621,A2146801901_600,46101,1.05E-06,3.1,0.32,68.23766356,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.504227378,0,A2146801901_595,46014,9.50E-07,1.15,0.43,6.055799669,4,A2146802402_4,46064,1.81E-06,44.8,0.35,0,2.646,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.656
7,P7,R1,1050.93,-94.82,518.36,0.821946567,SCREEN_2,43307,9.70E-08,0.4,0.4,2.28E-12,1.107962144,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.473086033,7.050668191,INNER_SCREEN,46064,1.81E-06,44.8,0.35,7.239525375,3.777143674,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,33.83465182,2.329019445,REAR_BRACKET,46072,1.85E-06,24,0.136,6.980860257,2.589690178,A2146801901_600,46101,1.05E-06,3.1,0.32,68.20556292,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.503725814,0,A2146801901_595,46014,9.50E-07,1.15,0.43,6.04917844,4,A2146802402_4,46064,1.81E-06,44.8,0.35,0,2.646,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9187
8,P8,R1,1069.83,-94.55,494.63,0.913372354,SCREEN_2,43307,9.70E-08,0.4,0.4,2.52E-12,1.237292903,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.645037156,7.030073314,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.224967511,0.703370746,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.167136947,0.140976566,INNER_SCREEN,46064,1.81E-06,44.8,0.35,2.953471925,0.098421026,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.639848387,4.218043988,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,7.022624141,8.122699894,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,26.89451438,2.812029326,REAR_BRACKET,46072,1.85E-06,24,0.136,4.218043988,3.515036657,A2146801901_600,46101,1.05E-06,3.1,0.32,78.87026621,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.500010966,0,A2146801901_595,46014,9.50E-07,1.15,0.43,9.992550528,2.646,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7951
9,P9,R1,1080.73,-98.35,480.87,0.977658511,SCREEN_2,43307,9.70E-08,0.4,0.4,2.77E-12,1.319988922,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.754985272,7.499937059,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.240003496,0.824993076,INNER_SCREEN,46064,1.81E-06,44.8,0.35,3.404965915,0.104999119,INNER_SCREEN,46064,1.81E-06,44.8,0.35,4.949958459,4.499962235,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,44.29379393,3.172521319,REAR_BRACKET,46072,1.85E-06,24,0.136,7.798858511,3.03712875,A2146801901_600,46101,1.05E-06,3.1,0.32,59.66733416,0,A2146801901_595,46014,9.50E-07,1.15,0.43,18.88990227,7.117056558,A2146801901_595,46014,9.50E-07,1.15,0.43,11.05683084,2.646,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4606
10,P10,R1,1106.6,-93.78,448.48,0.957696419,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.173905361,0,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,8.834821751,0.305628572,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.298293487,0.916885717,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.122251429,2.56502115,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.365207647,0.347810723,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.073817544,0.109919534,INNER_SCREEN,46064,1.81E-06,44.8,0.35,10.12660104,4.454220679,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,51.99770306,3.478107228,REAR_BRACKET,46072,1.85E-06,24,0.136,5.217160842,4.347634035,A2146801901_600,46101,1.05E-06,3.1,0.32,105.9945587,0,A2146801901_595,46014,9.50E-07,1.15,0.43,2.500010423,0,A2146801901_595,46014,9.50E-07,1.15,0.43,9.974702646,2.646000001,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.215
11,P11,R1,1113.31,-96.56,440,0.996036585,INNER_SUPPORT_BRACKET,46032,2.70E-06,70,0.3,0.180508061,1.62E-06,SCREEN_2,43307,9.70E-08,0.4,0.4,0,1.985604917,SIDE_SUPPORT_BRACKETS,46008,9.70E-08,0.4,0.4,0,3.068664654,SIDE_SUPPORT_BRACKETS,46008,9.70E-08,0.4,0.4,19.13402818,5.415290542,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,53.97239574,3.610193695,REAR_BRACKET,46072,1.85E-06,24,0.136,5.415290542,4.512742119,A2146801901_600,46101,1.05E-06,3.1,0.32,84.22483673,0.997972828,A2146801901_595,46014,9.50E-07,1.15,0.43,28.15651914,0.11956514,A2146801301_566,46014,9.50E-07,1.15,0.43,10.27882177,2.646000001,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4127
12,P12,R1,1092.9,-97.59,465.6,1.044157055,SCREEN_2,43307,9.70E-08,0.4,0.4,2.81E-12,1.416808954,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.883711904,8.050050873,INNER_SCREEN,46064,1.81E-06,44.8,0.35,0.257607542,0.80546668,INNER_SCREEN,46064,1.81E-06,44.8,0.35,3.734756099,0.112700712,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.313033576,4.830030524,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,48.00964557,3.252206283,REAR_BRACKET,46072,1.85E-06,24,0.136,7.917247227,4.06645738,A2146801901_600,46101,1.05E-06,3.1,0.32,66.93409895,0,A2146801901_595,46014,9.50E-07,1.15,0.43,26.82855717,0.332752543,A2146801901_595,46014,9.50E-07,1.15,0.43,10.7668136,2.646000001,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.486
13,P13,R1,1001.05,-75.82,581.37,0.658393517,SCREEN_2,43307,9.70E-08,0.4,0.4,2.03E-12,0.893105223,INNER_SCREEN,46064,1.81E-06,44.8,0.35,1.18742399,5.683396874,INNER_SCREEN,46064,1.81E-06,44.8,0.35,5.835630719,3.044676897,REAR_SUPPORT_BRACKET,46063,2.66E-06,70,0.3,16.03529832,2.029784631,REAR_BRACKET,46072,1.85E-06,24,0.136,13.45451413,4.752941145,A2146801901_600,46101,1.05E-06,3.1,0.32,61.47583746,2.646000003,A2146802402_4,46064,1.81E-06,44.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6581
