Type,Point X,Point Y, Point Z,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,Thickness,Comp Name,MaterialId,P1,P2,P3,Distance,A3MS
R1,938.69,550.53,793.05,3.0185454,A2966800800_65,40002,1.00E-06,0.25,0.45,1.170691808,2.350970197,A2966800800_65,40002,1.00E-06,0.25,0.45,16.70673122,3.746476532,A2978309900_6,40039,1.15E-06,2.8,0.45,2.123185446,4.716386254,A2978309900_6,40039,1.15E-06,2.8,0.45,66.57279125,2.692204802,A2966800800_70,40007,1.03E-06,2.95,0.35,52.1302176,37.29151295,A2966800000_15,70031,2.70E-06,70,0.3,2.52E-12,3.399067213,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1117
R1,983.01,556.3,695.68,0.087729289,A2976807202_10,70009,2.50E-06,22.54,0.23,2.407165057,3.77E-13,A2976807202_10,70009,2.50E-06,22.54,0.23,3.826912432,0.546436838,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.36550376,A2979019700_25,70010,1.10E-06,2.35,0.34,0,12.23528464,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.722127351,A2979019700_24,70010,1.10E-06,2.35,0.34,0,167.2076947,A2966800000_15,70031,2.70E-06,70,0.3,0.00019381,3.604861805,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8614
R1,999.49,513.06,676.34,2.320625203,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.206019647,A2979019700_13,70009,2.50E-06,22.54,0.23,1.61E-13,1.82E-07,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.039510395,A2979019700_13,70009,2.50E-06,22.54,0.23,6.92E-13,3.96526669,A2979019700_25,70010,1.10E-06,2.35,0.34,0,5.227000571,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.118963964,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.742750743,A2979019700_24,70010,1.10E-06,2.35,0.34,0,148.209966,A2966800000_15,70031,2.70E-06,70,0.3,3.591483499,28.09729005,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6351
R1,951.69,530.2,746.92,1.521301739,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.000002361,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.100000126,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.400000503,A2979019700_25,70010,1.10E-06,2.35,0.34,0,7.54E-13,A2979019700_25,70010,1.10E-06,2.35,0.34,0,2.500003132,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.800004723,A2979019700_25,70010,1.10E-06,2.35,0.34,0,2.500003083,A2979019700_25,70010,1.10E-06,2.35,0.34,0,4.725971941,A2979019700_24,70010,1.10E-06,2.35,0.34,0,5.979025196,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.143553584,A2979019700_23,,,,,0,61.05279767,A2979019700_23,,,,,0,78.59108372,A2966800000_15,70031,2.70E-06,70,0.3,3.442628738,19.39545211,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6412
R1,988.63,411.78,691.01,2.080048121,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.101804782,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.052538107,A2979019700_23,,,,,1.71E-13,1.891145329,A2979019700_23,,,,,4.99E-13,0.472454635,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.151017306,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.92444817,A2979019700_23,,,,,0,0.856911525,A2979019700_23,,,,,0,9.638522915,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.713823048,A2979019700_25,70010,1.10E-06,2.35,0.34,0,14.27121968,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.613632584,A2979019700_24,70010,1.10E-06,2.35,0.34,0,52.13090936,A2966800800_70,40007,1.03E-06,2.95,0.35,2.079992116,43.41218789,A2966800000_15,70031,2.70E-06,70,0.3,5.000000009,0,A2966800000_15,70031,2.70E-06,70,0.3,3.000000008,33.53774958,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9748
R1,939.24,424.86,798.16,2.680389802,A2966800800_65,40002,1.00E-06,0.25,0.45,1.021650547,2.057467146,A2966800800_65,40002,1.00E-06,0.25,0.45,1.03812568,7.210300498,A2978309900_6,40039,1.15E-06,2.8,0.45,3.769413581,2.362159735,A2978309900_6,40039,1.15E-06,2.8,0.45,3.297222831,15.22559942,A2978309900_6,40039,1.15E-06,2.8,0.45,6.181759283,2.34E-13,A2978309900_6,40039,1.15E-06,2.8,0.45,2.976058225,0.199088617,A2978309900_6,40039,1.15E-06,2.8,0.45,1.603994775,69.51651294,A2966800800_70,40007,1.03E-06,2.95,0.35,2.629267355,47.56951038,A2966800000_15,70031,2.70E-06,70,0.3,3,37.42771534,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.801
R1,964.72,212.41,725.96,1.67089306,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.01124283,A2979019700_4,70012,2.44E-06,71.7,0.21,0,5.84E-08,A2979019700_23,,,,,0,1.860349385,A2979019700_13,70009,2.50E-06,22.54,0.23,4.72E-13,2.161539137,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.005227938,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.452581847,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.017168979,A2979019700_25,70010,1.10E-06,2.35,0.34,0,32.71944235,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.512632756,A2979019700_24,70010,1.10E-06,2.35,0.34,0,35.16928121,A2966800800_70,40007,1.03E-06,2.95,0.35,2.009265284,54.81655838,A2966800000_15,70031,2.70E-06,70,0.3,2.282463103,0,A2966800000_15,70031,2.70E-06,70,0.3,1.504326245,0,A2966800000_15,70031,2.70E-06,70,0.3,0.028725811,0,A2966800000_15,70031,2.70E-06,70,0.3,3,25.06969583,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0291
R1,1008.38,212.02,664.8,2.515002606,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.304248724,A2979019700_4,70012,2.44E-06,71.7,0.21,0,4.602205733,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.149185844,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0.517974516,A2979019700_25,70010,1.10E-06,2.35,0.34,0,5.059501701,A2979019700_25,70010,1.10E-06,2.35,0.34,0,35.52003038,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.834352993,A2979019700_24,70010,1.10E-06,2.35,0.34,0,39.44211566,A2966800800_70,40007,1.03E-06,2.95,0.35,2.241139819,63.97684823,A2966800000_15,70031,2.70E-06,70,0.3,5.777439618,0,A2966800000_15,70031,2.70E-06,70,0.3,3.000000003,33.33356447,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7682
R1,992.84,0.9,685.17,2.036294971,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.049886242,A2979019700_4,70012,2.44E-06,71.7,0.21,0,0.051243845,A2979019700_23,,,,,0,1.699154943,A2979019700_23,,,,,4.10E-13,0.602374294,A2979019700_25,70010,1.10E-06,2.35,0.34,0,3.078185027,A2979019700_25,70010,1.10E-06,2.35,0.34,0,10.65096245,A2979019700_23,,,,,0,0.13189005,A2979019700_23,,,,,0,9.506942775,A2979019700_25,70010,1.10E-06,2.35,0.34,0,1.658174473,A2979019700_25,70010,1.10E-06,2.35,0.34,0,9.77516178,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.658847455,A2979019700_24,70010,1.10E-06,2.35,0.34,0,4.012338868,A2979019700_23,,,,,0,4.956545472,A2979019700_23,,,,,0,3.911007545,A2979019700_24,70010,1.10E-06,2.35,0.34,0,1.907270104,A2979019700_24,70010,1.10E-06,2.35,0.34,0,3.66464985,A2979019700_24,70010,1.10E-06,2.35,0.34,0,4.805768489,A2979019700_24,70010,1.10E-06,2.35,0.34,0,11.92294187,A2979019700_24,70010,1.10E-06,2.35,0.34,0,0.762450538,A2979019700_24,70010,1.10E-06,2.35,0.34,0,65.36005982,A2966800000_15,70031,2.70E-06,70,0.3,3.574503629,0,A2966800000_15,70031,2.70E-06,70,0.3,3.003996658,31.83071962,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2396
R1,941.29,2.12,764.57,1.395826643,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.12783629,A2979019700_4,70012,2.44E-06,71.7,0.21,0,2.521567862,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,0.258615633,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,1.604351168,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,2.723958504,A2979019700_25,70010,1.10E-06,2.35,0.34,0,0,A2979019700_23,,,,,0,12.5416565,A2979019700_24,70010,1.10E-06,2.35,0.34,0,2.651090493,A2979019700_24,70010,1.10E-06,2.35,0.34,0,104.5574403,N000000004661_1_1,40038,0,40038,0,6.466944228,13.25391294,A2966800000_15,70031,2.70E-06,70,0.3,3,31.65366987,A2966800000_15,70031,2.70E-06,70,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1136
